1/4W20	1/4W75	1/4W100	1/4W150	1/4W200	1/2W20	1/2W75	1/2W100	1/2W150	1/2W200
19.2	72.9	97.4	148	198	20.1	73.9	97.2	152	207
19.2	72.4	95.8	148	196	19.7	74.2	97.9	151	205
19.3	72.0	97.7	148	199	20.2	74.6	96.8	155	214
19.3	72.5	94.1	148	196	24.4	72.1	99.2	146	195
19.1	72.7	95.1	148	196	20.2	73.8	98.5	148	202
19.0	72.3	95.4	147	195	20.1	74.8	95.5	154	211
19.6	72.9	94.9	148	193	20.0	75.0	97.2	149	197
19.2	73.2	98.5	148	196	20.4	68.6	98.7	150	197
19.3	71.8	94.8	148	196	20.3	74.0	96.6	153	199
19.4	73.4	94.6	147	199	20.6	71.7	102	149	196
19.4	70.9	98.3	147	194	19.9	76.5	103	150	207
19.3	72.3	96.0	149	195	19.7	76.2	102	149	210
19.5	72.5	97.3	148	196	20.8	72.8	102	145	192
19.2	72.1	96.0	148	195	20.4	73.2	100	147	201
19.1	72.6	94.8	148	199	20.5	76.7	100	149	257
							
