x1	x2	y
800	0.01725	1
800	0.01725	0.9
800	0.01725	0.74
800	0.01725	0.66
700	0.01725	1
700	0.01725	1.2
700	0.01725	1.5
700	0.01725	1.6
700	0.0157	1.75
700	0.0157	1.85
700	0.0157	2
700	0.0157	2.2
600	0.022	1.2
600	0.022	1.5
600	0.022	1.6
600	0.022	1.6
600	0.01725	2.35
600	0.01725	2.65
600	0.01725	3
600	0.01725	3.6
500	0.01725	6.4
500	0.01725	7.8
500	0.01725	9.8
500	0.01725	16.5
500	0.0157	8.8
500	0.0157	11
500	0.0157	11.75
500	0.0157	19
450	0.022	4
450	0.022	4.7
450	0.022	5.3
450	0.022	6
400	0.01725	21.5
400	0.01725	24.5
400	0.01725	26
400	0.01725	33
