time	Q(p)
8	0.007722046
8	0.023347364
8	0.039220713
9	0.055350095
9	0.071743905
10	0.088410957
10	0.105360516
10	0.122602322
10	0.140146632
10	0.158004249
12	0.176186568
12	0.194705616
12	0.2135741
12	0.232805462
13	0.252413934
13	0.2724146
14	0.292823472
14	0.313657559
14	0.334934957
14	0.356674944
14	0.378898081
14	0.401626332
15	0.424883194
16	0.448693843
17	0.473085296
17	0.498086598
17	0.523729029
17	0.550046337
18	0.577075009
18	0.604854573
19	0.633427946
19	0.662841831
20	0.693147181
21	0.724399724
22	0.756660586
22	0.789997007
22	0.824483183
22	0.860201265
23	0.897242537
24	0.935708818
26	0.975714152
27	1.017386849
28	1.060871961
29	1.106334335
29	1.153962384
29	1.203972804
30	1.256616538
32	1.312186389
32	1.371026889
32	1.433547246
34	1.50023862
34	1.571697584
36	1.648658626
36	1.732040235
37	1.823012013
37	1.923095471
42	2.034321106
43	2.159484249
45	2.302585093
46	2.469639178
47	2.670309873
48	2.921624301
48	3.258096538
70	3.768922162
87	4.86753445
