Sample	Lengths
1	0.0075
1	0.01
1	0.0135
1	0.0135
2	-0.0085
2	0.0035
2	-0.018
2	0.001
3	0.0085
3	0
3	0.01
3	0.002
4	0.0005
4	-0.0005
4	0.0145
4	0.017
5	0.013
5	0.0035
5	0.012
5	0.007
6	-0.0115
6	-0.011
6	-0.0085
6	-0.0105
7	-0.008
7	-0.007
7	-0.006
7	-0.0045
8	-0.0095
8	-0.01
8	-0.013
8	-0.0165
9	0.009
9	0.0125
9	0.0125
9	0.008
10	-0.0105
10	-0.01
10	-0.015
10	-0.0075
11	0.0115
11	0.015
11	0.0175
11	0.018
12	0.002
12	0.0005
12	0.001
12	0.001
13	-0.001
13	-0.0025
13	-0.002
13	-0.003
13	-0.002
14	0.0015
14	0.0025
14	0.0025
15	-0.001
15	-0.0015
15	-0.002
15	-0.0045
