sample	length1	length2	length3	length4
1	0.0075	0.0100	0.0135	0.0135
2	-0.0085	0.0035	-0.0180	0.0010
3	0.0085	0.0000	0.0100	0.0020
4	0.0005	-0.0005	0.0145	0.0170
5	0.0130	0.0035	0.0120	0.0070
6	-0.0115	-0.0110	-0.0085	-0.0105
7	-0.0080	-0.0070	-0.0060	-0.0045
8	-0.0095	-0.0100	-0.0130	-0.0165
9	0.0090	0.0125	0.0125	0.0080
10	-0.0105	-0.0100	-0.0150	-0.0075
11	0.0115	0.0150	0.0175	0.0180
12	0.0020	0.0005	0.0010	0.0010
13	-0.0010	-0.0025	-0.0020	-0.0030
14	-0.0020	0.0015	0.0025	0.0025
15	-0.0010	-0.0015	-0.0020	-0.0045
