Sample	Length
1	11
1	14
1	14
1	10
1	8
2	14
2	10
2	11
2	10
2	11
3	8
3	13
3	14
3	13
3	10
4	11
4	8
4	13
4	11
4	13
5	13
5	10
5	11
5	11
5	11
6	11
6	10
6	10
6	11
6	13
7	8
7	6
7	11
7	11
7	11
8	10
8	11
8	10
8	14
8	10
9	11
9	8
9	11
9	8
9	10
10	6
10	6
10	11
10	13
10	11
11	11
11	14
11	13
11	8
11	11
12	8
12	11
12	10
12	11
12	14
13	11
13	11
13	13
13	8
13	13
14	11
14	8
14	11
14	11
14	11
15	11
15	11
15	13
15	11
15	11
16	14
16	13
16	13
16	13
16	14
17	14
17	13
17	14
17	13
17	11
18	13
18	11
18	11
18	11
18	13
19	14
19	11
19	11
19	11
19	13
