A	B	C	D	E	F	G	H	y1	y2
-1	-1	-1	-1	-1	-1	-1	-1	14.821	-0.4425
1	-1	-1	-1	-1	1	1	1	14.888	-1.1989
-1	1	-1	-1	-1	-1	1	1	14.037	-1.4307
1	1	-1	-1	1	1	-1	-1	13.88	-0.6505
-1	-1	1	-1	1	1	-1	1	14.165	-1.423
1	-1	1	-1	1	-1	1	-1	13.86	-0.4969
-1	1	1	-1	-1	1	1	-1	14.757	-0.3267
1	1	1	-1	-1	-1	-1	1	14.921	-0.627
-1	-1	-1	1	1	1	1	-1	13.972	-0.3467
1	-1	-1	1	1	-1	-1	1	14.032	-0.8563
-1	1	-1	1	-1	1	-1	1	14.843	-0.4369
1	1	-1	1	-1	-1	1	-1	14.415	-0.3131
-1	-1	1	1	-1	-1	1	1	14.878	-0.6154
1	-1	1	1	-1	1	-1	-1	14.932	-0.2292
-1	1	1	1	1	-1	-1	-1	13.907	-0.119
1	1	1	1	1	1	1	1	13.914	-0.8625
