y	Spacing
12	0.5
12.3	0.5
12.45	0.5
12.45	0.5
12.5	0.5
12.5	0.5
12.5	0.5
12.6	0.5
12.65	0.5
12.7	0.5
12.7	0.5
12.8	0.5
12.9	0.5
12.9	0.5
13	0.5
13	0.5
13	0.5
13.1	0.5
13.2	0.5
13.2	0.5
12.4	0.875
12.8	0.875
12.8	0.875
12.9	0.875
12.9	0.875
12.9	0.875
12.9	0.875
13	0.875
13	0.875
13	0.875
13	0.875
13.2	0.875
13.2	0.875
13.2	0.875
13.3	0.875
13.4	0.875
13.4	0.875
13.45	0.875
13.45	0.875
13.7	0.875
12	1
12.8	1
12.8	1
12.9	1
12.9	1
13	1
13	1
13	1
13.15	1
13.2	1
13.2	1
13.3	1
13.4	1
13.4	1
13.45	1
13.5	1
13.6	1
13.6	1
13.6	1
13.7	1
12.1	1.25
12.2	1.25
12.25	1.25
12.25	1.25
12.3	1.25
12.3	1.25
12.3	1.25
12.4	1.25
12.5	1.25
12.5	1.25
12.5	1.25
12.6	1.25
12.6	1.25
12.85	1.25
12.9	1.25
12.9	1.25
13	1.25
13.1	1.25
13.15	1.25
13.25	1.25
