x1	x2	y	trt
5	800	0	1
5	800	0	1
5	800	-1	1
5	900	-3	2
5	900	-2	2
5	900	1	2
5	1000	-1	3
5	1000	-1	3
5	1000	0	3
5	1100	-4	4
5	1100	1	4
5	1100	3	4
50	800	3	5
50	800	4	5
50	800	-1	5
50	900	-3	6
50	900	-1	6
50	900	1	6
50	1000	-4	7
50	1000	-1	7
50	1000	-3	7
50	1100	-4	8
50	1100	-4	8
50	1100	-2	8
150	800	4	9
150	800	2	9
150	800	-2	9
150	900	-1	10
150	900	-1	10
150	900	-2	10
150	1000	-4	11
150	1000	-5	11
150	1000	-7	11
150	1100	-7	12
150	1100	-5	12
150	1100	-8	12
500	800	1	13
500	800	-3	13
500	800	0	13
500	900	-2	14
500	900	-8	14
500	900	-2	14
500	1000	-8	15
500	1000	-7	15
500	1000	-7	15
500	1100	-11	16
500	1100	-9	16
500	1100	-5	16
